Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Doyo-Biqilaa,massoo,burqaa A/ sanbii,7.677082015,36.77273622,1697,https://akvoflow-23.s3.amazonaws.com/images/b4b4d437-5aa4-4f53-89dd-2da254c058e6.jpg,2002-11-05,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,massoo,burqaa A/dikoo,7.689621705,36.76537673,1841,https://akvoflow-23.s3.amazonaws.com/images/b9245fc8-3dc6-406b-b8b1-ae4e89a84406.jpg,2002-11-05,On Spot,,,44,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,gafaree,burqaa laloo,7.697096241,36.76193234,1850,https://akvoflow-23.s3.amazonaws.com/images/cd0bf17b-3e58-4751-9f29-d574c126bd63.jpg,2007-11-05,On Spot,,,40,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,gafaree,burqaa bayaa,7.697111763,36.75830413,1847,https://akvoflow-23.s3.amazonaws.com/images/153fe093-e480-4841-b8aa-3548e9c75713.jpg,2008-11-05,On Spot,,,32,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,garukkee,burqa buruu,7.696161698,36.7756535,1780,https://akvoflow-23.s3.amazonaws.com/images/faa74844-0a8d-402b-a893-e2aa2f3339da.jpg,2007-11-12,On Spot,,,36,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,garukkee,burqaa A/sanbii�,7.681657048,36.78721805,1742,https://akvoflow-23.s3.amazonaws.com/images/11aa503e-0e48-42db-82ee-7d92b6c740f1.jpg,2009-12-05,On Spot,,,40,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,warsuu,burqaa A/sanbii,7.705722628,36.7508061,1939,https://akvoflow-23.s3.amazonaws.com/images/3ae82281-6e91-4de1-b25f-a1168e66451a.jpg,2000-12-05,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,Yes,waan jalaan cabseefii yaaseef bukken warabamaa jira,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,waarsuu,burqaa hajii,7.699242287,36.74788569,1901,https://akvoflow-23.s3.amazonaws.com/images/37484924-054f-428a-a215-7cf98ab4feab.jpg,2004-12-05,On Spot,,,40,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,awasoo,burqaa soogiddoo,7.663844093,36.74791077,1839,https://akvoflow-23.s3.amazonaws.com/images/d54f760e-39ce-431e-aaa6-2281bff4dd9f.jpg,1985-12-05,On Spot,,,30,,Spring,No,No,Gravity,,,Functional,No,No,Yes,simiton waan irra dhumeef akka irra deebbi'imee hojetamuu gafacha jiruu,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,awasoo,burqaa baqalaa,7.667301379,36.74525548,1890,https://akvoflow-23.s3.amazonaws.com/images/40744b0b-09fe-426a-9517-9d83eb499488.jpg,1980-11-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,Yes,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
